Month,ProductA_Revenue,ProductB_Revenue,ProductC_Revenue,TotalRevenue,AvgOrderValue
1/1/2024,26001,47946,16638,73753,1698
2/1/2024,10968,49748,16570,112811,1716
3/1/2024,35892,39856,13249,34470,810
4/1/2024,35619,19200,19110,40225,1642
5/1/2024,10281,43997,23605,137860,1741
6/1/2024,37420,35611,22115,137510,926
7/1/2024,25360,45057,49062,138295,1937
8/1/2024,49030,11239,32911,53196,613
9/1/2024,11058,48138,48525,135823,1668
10/1/2024,30677,10125,42556,43669,802
11/1/2024,20724,33857,22595,67380,1243
12/1/2024,38404,25398,11969,140677,1087
