ProductID,ProductName,Category,Region,Q1Sales,Q2Sales,Q3Sales,Q4Sales,UnitPrice,TotalSales
101,Mouse,Electronics,East,868,430,101,810,1299,2209
102,Headphones,Electronics,North,104,739,741,919,599,2503
104,Speaker,Electronics,North,602,447,665,739,79,2453
105,Mouse,Accessories,East,866,572,954,650,19,3042
106,Webcam,Accessories,North,497,330,835,437,299,2099
107,Tablet,Accessories,West,970,289,324,971,49,2554
108,Mouse,Accessories,North,894,324,484,740,1299,2442
109,Keyboard,Accessories,West,492,484,502,878,599,2356
110,Speaker,Accessories,West,306,476,737,572,49,2091
112,Keyboard,Accessories,East,957,732,152,514,599,2355
113,Keyboard,Accessories,East,653,727,783,397,79,2560
114,Tablet,Accessories,East,991,844,829,710,1299,3374
115,Charger,Accessories,North,560,358,771,362,299,2051
116,Speaker,Electronics,West,790,458,809,863,19,2920
117,Phone,Electronics,East,674,809,515,243,199,2241
118,Keyboard,Accessories,East,963,555,346,445,19,2309
119,Charger,Accessories,North,842,510,935,723,199,3010
120,Phone,Accessories,East,340,748,538,671,19,2297
121,Speaker,Accessories,North,663,417,302,980,599,2362
123,Webcam,Accessories,East,999,324,222,996,1299,2541
124,Charger,Accessories,South,833,918,500,403,199,2654
125,Monitor,Accessories,North,584,333,866,353,1299,2136
126,Laptop,Electronics,West,506,783,393,751,1299,2433
127,Webcam,Accessories,East,330,763,379,552,1299,2024
128,Tablet,Electronics,North,848,926,936,136,899,2846
129,Mouse,Accessories,West,754,473,983,259,79,2469
133,Speaker,Electronics,West,624,332,851,758,1299,2565
134,Tablet,Accessories,East,259,791,243,915,199,2208
135,Mouse,Accessories,East,938,212,708,307,79,2165
136,Speaker,Electronics,South,798,929,300,230,79,2257
139,Phone,Accessories,East,895,663,425,153,599,2136
141,Monitor,Electronics,West,781,609,448,772,599,2610
142,Phone,Accessories,South,656,906,870,727,599,3159
143,Webcam,Accessories,East,673,485,759,686,599,2603
144,Monitor,Electronics,East,745,486,863,724,299,2818
145,Webcam,Accessories,North,895,212,502,519,79,2128
147,Phone,Accessories,North,719,724,610,203,1299,2256
148,Headphones,Electronics,East,655,180,246,951,79,2032
150,Keyboard,Electronics,East,897,212,963,326,49,2398
